Name,Expression
YOL108C,1
YKL112W,1
YGL254W,1
YBR083W,1
YCL055W,1
YOR363C,1
YBL005W,1
YOL067C,1
YDR259C,1
YKL038W,1
YGL209W,1
YDR034C,1
YBL103C,1
YPL075W,1
YHR084W,1
YDL170W,1
YLR098C,1
YDL056W,1
YLR451W,1
YDR207C,1
YJR060W,1
YDL020C,1
YMR021C,1
YDR123C,1
YHR124W,1
YEL009C,1
YNL216W,1
YJL110C,1
YLR256W,1
YGL013C,1
YNL027W,1
YKL109W,1
YMR070W,1
YOL028C,1
YDR146C,1
YKR064W,1
YGL071W,1
YKL062W,1
YAL051W,1
YFL031W,1
YHR206W,1
YIL036W,1
YPR065W,1
YML007W,1
YJL089W,1
YIL131C,1
YGL035C,1
YOR337W,1
YOR358W,1
YGL237C,1
YNL314W,1
YLR131C,1
YGR044C,1
YKL015W,1
YPL089C,1
YBR182C,1
YDR253C,1
YBR049C,1
YBL021C,1
YFR034C,1
YFL021W,1
YDR423C,1
YJL056C,1
YLR228C,1
YJR094C,1
YHR178W,1
YOR028C,1
YNL068C,1
YKR034W,1
YCR065W,1
YDR216W,1
YMR042W,1
YMR037C,1
YPL248C,1
YNL204C,1
YER111C,1
YML099C,1
YNL103W,1
YER040W,1
YKL185W,1
YPR199C,1
YLR176C,1
YIL101C,1
YMR280C,1
YGL166W,1
YMR043W,1
YLR014C,1
YIR023W,1
YOR140W,1
YNL167C,1
YGL073W,1
